,accession,pred_prob,protein,protein_probability,mRNA,y
850,YHR098C,0.26776811480522156,YHR098C,0.0,1.56,1
851,YNL213C,0.1810947060585022,YNL213C,0.0,0.83,0
852,YOR231W,0.4438364803791046,YOR231W,0.0,0.82,0
853,YOR137C,0.6378540992736816,YOR137C,0.0,0.4,0
854,YDL140C,0.620408833026886,YDL140C,0.0,2.64,1
855,YER157W,0.24520733952522278,YER157W,0.0,0.71,1
856,YJL050W,0.529457151889801,YJL050W,0.0,1.36,1
857,YOL144W,0.2459445297718048,YOL144W,0.0,1.14,1
858,YDR035W,0.5903124809265137,YDR035W,0.0,3.16,1
859,YKL054C,0.6027530431747437,YKL054C,0.76,3.78,1
860,YNL202W,0.4542868733406067,YNL202W,0.0,0.8,0
861,YGL207W,0.2641245424747467,YGL207W,0.0,2.44,1
862,YKL122C,0.28840115666389465,YKL122C,0.0,3.73,1
863,YPL032C,0.3714734613895416,YPL032C,0.0,1.84,1
864,YJR008W,0.3145274519920349,YJR008W,0.0,0.69,0
865,YLR253W,0.24207115173339844,YLR253W,0.0,0.67,0
866,YDR486C,0.35969460010528564,YDR486C,0.0,1.03,0
867,YBL078C,0.5764813423156738,YBL078C,0.0,0.86,0
868,YDL226C,0.30538272857666016,YDL226C,0.41,1.75,1
869,YOR274W,0.21854296326637268,YOR274W,0.0,0.7,0
870,YBR007C,0.48819786310195923,YBR007C,0.0,0.71,0
871,YDR066C,0.41150036454200745,YDR066C,0.0,0.65,0
872,YLR089C,0.5345997214317322,YLR089C,0.0,2.43,1
873,YOR021C,0.3275672197341919,YOR021C,0.0,4.99,1
874,YGL136C,0.4847775995731354,YGL136C,0.0,0.75,0
875,YFR015C,0.48658326268196106,YFR015C,0.0,2.66,1
876,YLR287C,0.2066093385219574,YLR287C,0.0,0.85,1
877,YKL088W,0.58406662940979,YKL088W,0.3,0.87,1
878,YBR102C,0.3833145201206207,YBR102C,0.0,0.44,1
879,YOR336W,0.5143648982048035,YOR336W,0.0,2.16,1
880,YDR020C,0.4789167046546936,YDR020C,0.0,0.91,0
881,YMR251W,0.42881879210472107,YMR251W,0.34,12.35,0
882,YHR057C,0.42944106459617615,YHR057C,0.0,1.9,0
883,YGL190C,0.22787362337112427,YGL190C,0.0,0.99,1
884,YFR016C,0.9438216090202332,YFR016C,1.0,0.63,1
885,YJR141W,0.17776066064834595,YJR141W,0.0,0.92,0
886,YIR003W,0.6304177045822144,YIR003W,0.0,0.7,1
887,YPR133C,0.4521976411342621,YPR133C,0.0,1.62,1
888,YLR252W,0.2145923525094986,YLR252W,0.0,1.09,0
889,YKL138C,0.33324894309043884,YKL138C,0.0,1.66,0
890,YFL007W,0.5695971250534058,YFL007W,0.0,0.89,1
891,YER188W,0.618826687335968,YER188W,0.0,0.29,0
892,YGL119W,0.3591751754283905,YGL119W,0.0,0.94,1
893,YLR405W,0.47521311044692993,YLR405W,0.0,0.96,0
894,YIR004W,0.595235288143158,YIR004W,0.0,1.25,1
895,YJR148W,0.7764685750007629,YJR148W,0.78,6.93,1
896,YOR176W,0.5628197193145752,YOR176W,0.0,1.96,1
897,YNL339C,0.4210605025291443,YNL339C,0.0,3.54,0
898,YDR267C,0.46688953042030334,YDR267C,0.0,1.68,0
899,YDR357C,0.41759198904037476,YDR357C,0.0,1.44,0
900,YLR451W,0.5186590552330017,YLR451W,0.0,0.71,0
901,YOR195W,0.48386240005493164,YOR195W,0.2,0.78,1
902,YLR203C,0.19344839453697205,YLR203C,0.0,1.43,1
903,YPL142C,0.5820205211639404,YPL142C,0.0,11.47,0
904,YGL166W,0.27793988585472107,YGL166W,0.0,0.8,0
905,YPL222W,0.40863457322120667,YPL222W,0.0,0.5,0
906,YGL150C,0.7496204376220703,YGL150C,0.59,0.9,1
907,YPR173C,0.28244760632514954,YPR173C,0.0,1.67,1
908,YOR172W,0.21684758365154266,YOR172W,0.0,1.27,0
909,YGR233C,0.45180416107177734,YGR233C,0.0,1.15,1
910,YER097W,0.314455509185791,YER097W,0.0,0.43,0
911,YGL052W,0.17776066064834595,YGL052W,0.0,0.55,0
912,YGL103W,0.9359015226364136,YGL103W,1.0,32.85,1
913,YNL249C,0.6364483833312988,YNL249C,0.0,0.66,0
914,YJL069C,0.8351791501045227,YJL069C,0.91,1.4,1
915,YER117W,0.5628480911254883,YER117W,0.0,43.96,1
916,YGR088W,0.6594297289848328,YGR088W,0.46,0.3,1
917,YLR198C,0.17776066064834595,YLR198C,0.0,8.79,0
918,YGR103W,0.5633493661880493,YGR103W,0.0,5.01,1
919,YDR308C,0.18152004480361938,YDR308C,0.0,1.21,0
920,YIL126W,0.5325849652290344,YIL126W,0.65,1.45,1
921,YDL039C,0.39906689524650574,YDL039C,0.0,2.22,0
922,YGR116W,0.6827796697616577,YGR116W,0.51,1.58,1
923,YER009W,0.9436956644058228,YER009W,0.99,7.54,1
924,YBR176W,0.6204736232757568,YBR176W,0.0,0.61,0
925,YMR049C,0.5375310778617859,YMR049C,0.0,2.39,1
926,YLR430W,0.9448629021644592,YLR430W,1.0,0.89,1
927,YPL253C,0.280401349067688,YPL253C,0.0,0.74,0
928,YNL147W,0.5520994067192078,YNL147W,0.0,2.9,0
929,YOR347C,0.6372135281562805,YOR347C,0.0,0.71,1
930,YDR315C,0.17776066064834595,YDR315C,0.0,0.66,0
931,YHR209W,0.38530460000038147,YHR209W,0.0,0.55,0
932,YBR022W,0.39908432960510254,YBR022W,0.0,1.16,0
933,YDL111C,0.3706541061401367,YDL111C,0.0,1.87,1
934,YIL148W,0.572754979133606,YIL148W,0.0,21.77,1
935,YKL143W,0.31802716851234436,YKL143W,0.0,1.08,0
936,YFR052W,0.2730450928211212,YFR052W,0.0,2.88,1
937,YLR274W,0.27503058314323425,YLR274W,0.0,1.31,1
938,YGL091C,0.22464951872825623,YGL091C,0.0,2.23,0
939,YPL079W,0.5654448866844177,YPL079W,0.0,35.48,1
940,YKR083C,0.22148898243904114,YKR083C,0.0,1.07,0
941,YLR069C,0.5861586332321167,YLR069C,0.0,1.43,1
942,YOL155C,0.5325636863708496,YOL155C,0.45,0.72,0
943,YML074C,0.24137112498283386,YML074C,0.0,4.9,1
944,YCR019W,0.4967042803764343,YCR019W,0.0,0.44,0
945,YER036C,0.4755902886390686,YER036C,0.0,4.88,1
946,YBR121C,0.9448043704032898,YBR121C,1.0,11.11,1
947,YNL118C,0.5816128253936768,YNL118C,0.0,1.01,1
948,YBR145W,0.6656113862991333,YBR145W,0.26,2.69,1
949,YNL312W,0.4455971121788025,YNL312W,0.0,2.12,1
950,YCR039C,0.49521970748901367,YCR039C,0.0,1.83,0
951,YAL056W,0.2751536965370178,YAL056W,0.0,1.17,0
952,YOR196C,0.3052676022052765,YOR196C,0.0,1.18,1
953,YGR148C,0.9448084831237793,YGR148C,1.0,53.06,1
954,YFL058W,0.3184840977191925,YFL058W,0.0,0.22,0
955,YBL015W,0.6378540992736816,YBL015W,0.0,1.61,1
956,YDR056C,0.6303281784057617,YDR056C,0.0,1.69,0
957,YDR138W,0.20718428492546082,YDR138W,0.0,0.58,1
958,YOR070C,0.31833499670028687,YOR070C,0.0,0.53,0
959,YDR098C,0.7178381681442261,YDR098C,0.98,1.52,1
960,YDL188C,0.4394682049751282,YDL188C,0.0,1.38,1
961,YBR028C,0.35392463207244873,YBR028C,0.0,0.93,0
962,YPR045C,0.23941059410572052,YPR045C,0.0,0.63,0
963,YLR172C,0.44184166193008423,YLR172C,0.0,1.78,1
964,YBR084W,0.5607393980026245,YBR084W,0.0,4.11,1
965,YIL154C,0.3891746401786804,YIL154C,0.0,1.68,0
966,YER069W,0.5306594371795654,YER069W,0.0,0.74,1
967,YNL170W,0.17776066064834595,YNL170W,0.0,0.71,0
968,YIL031W,0.6378540992736816,YIL031W,0.0,1.13,0
969,YGR219W,0.17776066064834595,YGR219W,0.0,1.31,0
970,YOR340C,0.5031464099884033,YOR340C,0.0,2.43,1
971,YPL095C,0.47568991780281067,YPL095C,0.0,1.04,0
972,YJL200C,0.9154340028762817,YJL200C,0.86,1.41,1
973,YGL045W,0.2491634488105774,YGL045W,0.0,0.48,0
974,YNL106C,0.5393879413604736,YNL106C,0.0,0.56,0
975,YJR153W,0.4150751829147339,YJR153W,0.0,0.22,0
976,YLR320W,0.5737857818603516,YLR320W,0.39,0.64,0
977,YDL173W,0.3333919942378998,YDL173W,0.0,2.86,0
978,YLR195C,0.5089403986930847,YLR195C,0.0,1.4,1
979,YPL081W,0.5099507570266724,YPL081W,0.0,6.23,1
980,YGR211W,0.45786166191101074,YGR211W,0.0,2.04,1
981,YMR061W,0.5381256937980652,YMR061W,0.0,1.09,1
982,YDR087C,0.5345997214317322,YDR087C,0.0,1.95,1
983,YBR066C,0.32663992047309875,YBR066C,0.0,1.22,0
984,YDR083W,0.4997043013572693,YDR083W,0.0,2.48,1
985,YBR248C,0.9365194439888,YBR248C,1.0,1.34,1
986,YLL002W,0.5830249190330505,YLL002W,0.25,0.54,0
987,YKR063C,0.5187144875526428,YKR063C,0.0,0.81,0
988,YHL027W,0.2579968273639679,YHL027W,0.0,1.03,0
989,YOR334W,0.4985840618610382,YOR334W,0.0,1.36,0
990,YHL001W,0.5694099068641663,YHL001W,0.0,19.5,1
991,YMR303C,0.691386878490448,YMR303C,0.45,11.92,1
992,YGR007W,0.35913991928100586,YGR007W,0.0,1.74,0
993,YPR017C,0.39184120297431946,YPR017C,0.0,0.93,0
994,YLR370C,0.5281713008880615,YLR370C,0.0,2.28,1
995,YOL068C,0.3624974191188812,YOL068C,0.0,1.64,0
996,YJR036C,0.5024595856666565,YJR036C,0.0,0.57,0
997,YBR192W,0.5098251700401306,YBR192W,0.0,0.96,0
998,YDR545W,0.2913253605365753,YDR545W,0.0,3.09,0
999,YDL176W,0.5136305689811707,YDL176W,0.0,0.63,0
1000,YLR441C,0.9437231421470642,YLR441C,0.99,25.88,1
1001,YPR099C,0.1790415197610855,YPR099C,0.0,0.7,0
1002,YGR193C,0.6152817606925964,YGR193C,0.0,1.45,1
1003,YDR330W,0.4113137722015381,YDR330W,0.0,0.39,0
1004,YNL055C,0.5159957408905029,YNL055C,0.0,25.38,1
1005,YNL241C,0.8926875591278076,YNL241C,0.94,1.53,1
1006,YKL163W,0.23897160589694977,YKL163W,0.0,2.45,0
1007,YLR243W,0.44960731267929077,YLR243W,0.0,1.63,0
1008,YGL081W,0.3435227870941162,YGL081W,0.0,0.34,0
1009,YLR300W,0.613865315914154,YLR300W,0.0,13.1,1
1010,YNL138W,0.37380483746528625,YNL138W,0.0,3.7,1
1011,YJR096W,0.2087508589029312,YJR096W,0.0,1.12,1
1012,YHR168W,0.3880516290664673,YHR168W,0.0,0.7,0
1013,YLR431C,0.3641193211078644,YLR431C,0.0,0.38,0
1014,YBR141C,0.35441747307777405,YBR141C,0.0,0.65,0
1015,YDR539W,0.2377299666404724,YDR539W,0.0,0.75,1
1016,YOR156C,0.34825482964515686,YOR156C,0.0,0.29,0
1017,YJR067C,0.5081804990768433,YJR067C,0.0,1.41,0
1018,YKR096W,0.43546780943870544,YKR096W,0.0,1.02,0
1019,YGR186W,0.47799012064933777,YGR186W,0.0,3.0,1
1020,YMR250W,0.17776066064834595,YMR250W,0.0,0.68,1
1021,YJR007W,0.616807222366333,YJR007W,0.0,5.73,1
1022,YMR153W,0.3409885764122009,YMR153W,0.0,1.0,0
1023,YDL060W,0.2885201573371887,YDL060W,0.0,2.04,1
1024,YCR082W,0.3766694664955139,YCR082W,0.0,3.0,0
1025,YGR210C,0.5706915259361267,YGR210C,0.0,2.76,1
1026,YOR066W,0.38467293977737427,YOR066W,0.0,0.81,0
1027,YDR336W,0.29400527477264404,YDR336W,0.0,0.63,0
1028,YGL219C,0.22117973864078522,YGL219C,0.0,0.87,0
1029,YKR010C,0.28529247641563416,YKR010C,0.0,0.84,0
1030,YPL216W,0.22504687309265137,YPL216W,0.0,1.22,0
1031,YJL127C,0.4561472535133362,YJL127C,0.0,1.02,0
1032,YHR051W,0.23427343368530273,YHR051W,0.0,3.23,1
1033,YLR340W,0.9386149048805237,YLR340W,1.0,39.32,1
1034,YCL009C,0.7835860252380371,YCL009C,0.71,3.62,1
1035,YDR510W,0.489185631275177,YDR510W,0.0,6.24,1
1036,YKL104C,0.5780653357505798,YKL104C,0.0,2.91,1
1037,YER092W,0.3061501383781433,YER092W,0.0,1.36,0
1038,YOR009W,0.22962793707847595,YOR009W,0.0,1.56,0
1039,YDR516C,0.5002816319465637,YDR516C,0.0,3.57,1
1040,YDL145C,0.2639838755130768,YDL145C,0.0,3.6,1
1041,YER046W,0.38841700553894043,YER046W,0.0,0.82,0
1042,YER027C,0.30959445238113403,YER027C,0.0,0.89,1
1043,YKR001C,0.5361676812171936,YKR001C,0.0,2.15,1
1044,YHR017W,0.49221307039260864,YHR017W,0.0,0.79,0
1045,YBL075C,0.6638312935829163,YBL075C,0.38,1.61,1
1046,YDL125C,0.5997835993766785,YDL125C,0.0,7.3,1
1047,YML108W,0.3585994839668274,YML108W,0.0,2.02,0
1048,YBR050C,0.24321337044239044,YBR050C,0.0,0.57,0
1049,YER131W,0.6378540992736816,YER131W,0.0,17.49,1
1050,YMR116C,0.9407066106796265,YMR116C,1.0,52.33,1
1051,YGL013C,0.3962540030479431,YGL013C,0.0,0.94,0
1052,YDL219W,0.25772589445114136,YDL219W,0.0,2.32,0
1053,YML093W,0.5795450806617737,YML093W,0.0,1.68,1
1054,YMR217W,0.7666471600532532,YMR217W,1.0,7.72,1
1055,YPR199C,0.28840115666389465,YPR199C,0.0,1.08,0
1056,YCR031C,0.944763720035553,YCR031C,1.0,36.79,1
1057,YMR022W,0.18827229738235474,YMR022W,0.0,2.36,0
1058,YMR005W,0.44062647223472595,YMR005W,0.0,1.08,1
1059,YJL015C,0.39351212978363037,YJL015C,0.0,0.81,0
1060,YOL083W,0.23749522864818573,YOL083W,0.0,0.75,0
1061,YGR124W,0.9448317885398865,YGR124W,1.0,8.22,1
1062,YAR060C,0.314455509185791,YAR060C,0.0,0.39,0
1063,YGR146C,0.5834100842475891,YGR146C,0.0,1.2,0
1064,YBR151W,0.2827252745628357,YBR151W,0.0,2.05,1
1065,YJR017C,0.5238633155822754,YJR017C,0.0,1.91,1
1066,YDR116C,0.6075602173805237,YDR116C,0.0,1.53,1
1067,YAL049C,0.6085073351860046,YAL049C,0.0,2.01,1
1068,YER132C,0.5694020986557007,YER132C,0.0,0.74,0
1069,YMR072W,0.269143670797348,YMR072W,0.0,3.98,1
1070,YLR102C,0.1792464703321457,YLR102C,0.0,1.24,0
1071,YLR051C,0.5394606590270996,YLR051C,0.0,1.66,0
1072,YGR031W,0.49004408717155457,YGR031W,0.0,1.23,0
1073,YOL154W,0.2772732079029083,YOL154W,0.0,0.55,0
1074,YDR395W,0.5857149362564087,YDR395W,0.0,1.54,1
1075,YER040W,0.3026041090488434,YER040W,0.0,0.34,0
1076,YLR211C,0.2299492061138153,YLR211C,0.0,0.85,0
1077,YHR214W,0.3669429421424866,YHR214W,0.0,0.5,0
1078,YGL189C,0.9447711706161499,YGL189C,1.0,64.82,1
1079,YDR446W,0.3374127149581909,YDR446W,0.0,0.5,0
1080,YDR198C,0.5913316011428833,YDR198C,0.0,1.06,0
1081,YNL078W,0.6151081919670105,YNL078W,0.0,1.03,0
1082,YDL233W,0.23588959872722626,YDL233W,0.0,0.62,0
1083,YJR155W,0.534780740737915,YJR155W,0.0,0.26,0
1084,YLR381W,0.1987893432378769,YLR381W,0.0,0.63,0
1085,YPR069C,0.9447128772735596,YPR069C,1.0,4.64,1
1086,YKR084C,0.5698077082633972,YKR084C,0.0,1.1,1
1087,YOR269W,0.5182303786277771,YOR269W,0.0,0.75,0
1088,YKR011C,0.1792328804731369,YKR011C,0.0,1.37,0
1089,YOR238W,0.37223759293556213,YOR238W,0.21,1.78,0
1090,YER064C,0.27223455905914307,YER064C,0.0,1.25,0
1091,YLR227C,0.37927311658859253,YLR227C,0.0,0.9,0
1092,YFR009W,0.6378540992736816,YFR009W,0.0,1.82,1
1093,YGR294W,0.1792464703321457,YGR294W,0.0,1.68,0
1094,YOR126C,0.6439049243927002,YOR126C,0.64,0.65,0
1095,YDR327W,0.17776066064834595,YDR327W,0.0,1.37,0
1096,YLR055C,0.42324817180633545,YLR055C,0.0,0.63,1
1097,YGR005C,0.3112088143825531,YGR005C,0.0,1.1,1
1098,YER007C-A,0.5156870484352112,YER007C-A,0.0,5.45,1
1099,YGR165W,0.4571336805820465,YGR165W,0.0,1.02,1
1100,YMR320W,0.1937982589006424,YMR320W,0.0,0.69,0
1101,YFL049W,0.49191612005233765,YFL049W,0.0,1.0,0
1102,YDL081C,0.9312807321548462,YDL081C,1.0,27.31,1
1103,YFR007W,0.5279828906059265,YFR007W,0.0,0.48,0
1104,YDR312W,0.4995659291744232,YDR312W,0.0,1.37,1
1105,YOR388C,0.47997382283210754,YOR388C,0.0,0.6,0
1106,YKR072C,0.2185330092906952,YKR072C,0.0,1.04,1
1107,YMR083W,0.8677834272384644,YMR083W,0.85,13.8,1
1108,YKL043W,0.21055126190185547,YKL043W,0.0,0.82,0
1109,YHR111W,0.5437215566635132,YHR111W,0.0,0.67,1
1110,YJL135W,0.314455509185791,YJL135W,0.0,0.96,0
1111,YNL037C,0.6468549966812134,YNL037C,0.55,2.19,1
1112,YGR003W,0.5595166087150574,YGR003W,0.0,0.55,0
1113,YGL086W,0.2324671745300293,YGL086W,0.0,1.35,1
1114,YDR365C,0.33402007818222046,YDR365C,0.0,2.35,1
1115,YBR080C,0.22268471121788025,YBR080C,0.0,1.3,1
1116,YPL273W,0.6038572192192078,YPL273W,0.0,3.23,1
1117,YNL210W,0.32177793979644775,YNL210W,0.0,0.46,0
1118,YDR318W,0.21710841357707977,YDR318W,0.0,0.84,0
1119,YFL022C,0.9341410398483276,YFL022C,0.93,3.38,1
1120,YJL147C,0.45524823665618896,YJL147C,0.22,0.56,0
1121,YIL018W,0.91959547996521,YIL018W,1.0,38.32,1
1122,YLR167W,0.9398269653320312,YLR167W,0.96,26.75,1
1123,YBL058W,0.2736274003982544,YBL058W,0.0,2.78,1
1124,YBR270C,0.3346920609474182,YBR270C,0.0,0.4,0
1125,YCL049C,0.44416454434394836,YCL049C,0.0,0.53,0
1126,YGL163C,0.18725910782814026,YGL163C,0.0,0.66,0
1127,YGR200C,0.3167024254798889,YGR200C,0.0,2.18,1
1128,YLR316C,0.5472912192344666,YLR316C,0.0,0.84,0
1129,YER018C,0.3353465497493744,YER018C,0.0,0.38,0
1130,YAL038W,0.944644570350647,YAL038W,1.0,74.36,1
1131,YKL013C,0.428690105676651,YKL013C,0.0,3.53,1
1132,YBR280C,0.2428898811340332,YBR280C,0.0,0.42,0
1133,YBL029W,0.17845916748046875,YBL029W,0.0,0.49,0
1134,YHR127W,0.2880229353904724,YHR127W,0.0,0.98,0
1135,YIL142W,0.5782238245010376,YIL142W,0.0,2.95,1
1136,YLR429W,0.5105838775634766,YLR429W,0.0,1.98,1
1137,YNL190W,0.3990403115749359,YNL190W,0.0,8.4,0
1138,YPL009C,0.9423112273216248,YPL009C,0.98,2.29,1
1139,YLR276C,0.7017383575439453,YLR276C,0.79,3.25,1
1140,YJR156C,0.5941867828369141,YJR156C,0.0,0.37,0
1141,YLR263W,0.25853487849235535,YLR263W,0.0,0.8,0
1142,YGR283C,0.3612818419933319,YGR283C,0.39,1.46,0
1143,YDR148C,0.615566611289978,YDR148C,0.0,1.04,1
1144,YJR060W,0.7490954995155334,YJR060W,0.57,1.2,1
1145,YPL256C,0.42872148752212524,YPL256C,0.65,1.35,0
1146,YPL038W,0.27935272455215454,YPL038W,0.0,1.1,0
1147,YDR362C,0.6378540992736816,YDR362C,0.0,0.65,0
1148,YPR036W,0.38836270570755005,YPR036W,0.29,7.1,1
1149,YOR102W,0.17776066064834595,YOR102W,0.0,1.13,0
1150,YBR035C,0.5608227252960205,YBR035C,0.0,2.71,1
1151,YLR434C,0.314455509185791,YLR434C,0.0,0.74,0
1152,YJL181W,0.3889184892177582,YJL181W,0.28,0.68,0
1153,YLR126C,0.43620964884757996,YLR126C,0.0,0.94,0
1154,YJR105W,0.8305951952934265,YJR105W,1.0,4.98,1
1155,YLL044W,0.6163652539253235,YLL044W,0.0,15.74,0
1156,YGL245W,0.9447092413902283,YGL245W,1.0,8.98,1
1157,YNL299W,0.3049148917198181,YNL299W,0.0,0.8,0
1158,YIL127C,0.40157532691955566,YIL127C,0.0,1.58,0
1159,YLL035W,0.2721458971500397,YLL035W,0.0,0.87,0
1160,YPR119W,0.3849266469478607,YPR119W,0.31,1.08,0
1161,YPL159C,0.25947314500808716,YPL159C,0.0,0.86,0
1162,YNR020C,0.2663041949272156,YNR020C,0.0,1.18,0
1163,YPL170W,0.5543237328529358,YPL170W,0.0,1.39,1
1164,YHR049W,0.31022700667381287,YHR049W,0.0,3.75,1
1165,YNL131W,0.29202619194984436,YNL131W,0.0,3.36,1
1166,YHR167W,0.37656286358833313,YHR167W,0.0,0.89,0
1167,YMR240C,0.432111531496048,YMR240C,0.0,1.31,0
1168,YMR150C,0.6094329357147217,YMR150C,0.0,1.57,0
1169,YNL185C,0.4575815796852112,YNL185C,0.0,1.14,1
1170,YMR189W,0.6378540992736816,YMR189W,0.0,1.37,1
1171,YMR066W,0.7207673788070679,YMR066W,0.6,0.65,0
1172,YBL112C,0.5082474946975708,YBL112C,0.0,1.28,0
1173,YFR044C,0.9450226426124573,YFR044C,1.0,6.54,1
1174,YNR077C,0.17776066064834595,YNR077C,0.0,0.13,0
1175,YMR264W,0.4663207232952118,YMR264W,0.0,2.16,0
1176,YDL135C,0.2058897614479065,YDL135C,0.0,2.05,1
1177,YKL160W,0.34265264868736267,YKL160W,0.0,2.46,0
1178,YOR061W,0.2759486734867096,YOR061W,0.0,3.37,1
1179,YOR136W,0.579534113407135,YOR136W,0.0,5.75,1
1180,YBL096C,0.314455509185791,YBL096C,0.0,1.12,0
1181,YMR164C,0.4720945358276367,YMR164C,0.0,0.82,0
1182,YMR059W,0.3443865478038788,YMR059W,0.0,0.99,0
1183,YPR094W,0.4117412269115448,YPR094W,0.0,1.38,0
1184,YIL075C,0.44403985142707825,YIL075C,0.0,2.93,1
1185,YLR432W,0.78385329246521,YLR432W,1.0,2.95,1
1186,YLR121C,0.4773302674293518,YLR121C,0.0,0.49,0
1187,YMR092C,0.32743650674819946,YMR092C,0.0,1.59,1
1188,YCL056C,0.2856980264186859,YCL056C,0.0,1.67,0
1189,YHR025W,0.9315482974052429,YHR025W,0.98,6.28,1
1190,YIR011C,0.3136534094810486,YIR011C,0.0,1.59,0
1191,YOL065C,0.6130006313323975,YOL065C,0.43,1.01,0
1192,YNL160W,0.5613033771514893,YNL160W,0.0,7.51,1
1193,YJR077C,0.5345997214317322,YJR077C,0.0,4.4,1
1194,YOR005C,0.796707808971405,YOR005C,0.68,0.47,0
1195,YPL089C,0.30151382088661194,YPL089C,0.23,0.93,0
1196,YDR332W,0.26849690079689026,YDR332W,0.0,0.46,0
1197,YMR163C,0.40505409240722656,YMR163C,0.29,0.57,0
1198,YDR378C,0.3629906475543976,YDR378C,0.3,1.89,1
1199,YJL102W,0.5003394484519958,YJL102W,0.0,0.5,0
1200,YML092C,0.6239461898803711,YML092C,0.0,3.65,1
1201,YML109W,0.6102566123008728,YML109W,0.66,0.61,1
1202,YOR342C,0.26989075541496277,YOR342C,0.0,2.05,0
1203,YER080W,0.3053910434246063,YER080W,0.0,2.02,1
1204,YJR122W,0.5542991161346436,YJR122W,0.0,0.68,0
1205,YML107C,0.21854296326637268,YML107C,0.0,0.72,0
1206,YOR026W,0.5422413945198059,YOR026W,0.0,0.97,0
1207,YNL002C,0.4876953065395355,YNL002C,0.0,2.38,1
1208,YLR213C,0.3647479712963104,YLR213C,0.0,0.39,0
1209,YPR188C,0.49717628955841064,YPR188C,0.0,1.67,0
1210,YKR058W,0.22505880892276764,YKR058W,0.0,0.63,0
1211,YDR403W,0.4954693913459778,YDR403W,0.0,0.26,0
1212,YNL012W,0.29455167055130005,YNL012W,0.0,0.4,0
1213,YPL043W,0.3786013424396515,YPL043W,0.3,2.0,1
1214,YJR025C,0.6145488619804382,YJR025C,0.0,1.68,1
1215,YBR148W,0.19756534695625305,YBR148W,0.0,0.65,0
1216,YLR303W,0.9452143311500549,YLR303W,1.0,14.89,1
1217,YPL218W,0.6001147031784058,YPL218W,0.0,9.12,1
1218,YOL116W,0.32032015919685364,YOL116W,0.0,0.81,0
1219,YOL036W,0.3041110932826996,YOL036W,0.0,1.45,0
1220,YLR217W,0.17776066064834595,YLR217W,0.0,2.2,0
1221,YLR448W,0.9356710314750671,YLR448W,0.94,21.93,1
1222,YLR249W,0.9389351606369019,YLR249W,1.0,39.96,1
1223,YDL057W,0.37847983837127686,YDL057W,0.0,0.67,0
1224,YMR053C,0.27134332060813904,YMR053C,0.24,0.47,0
1225,YKL040C,0.5349173545837402,YKL040C,0.0,1.5,1
1226,YCL035C,0.8503341674804688,YCL035C,0.73,4.0,1
1227,YPL123C,0.4668521285057068,YPL123C,0.0,1.94,0
1228,YLR068W,0.4897630214691162,YLR068W,0.0,2.57,0
1229,YKL136W,0.314455509185791,YKL136W,0.0,0.88,0
1230,YML064C,0.5536709427833557,YML064C,0.33,1.41,0
1231,YDL150W,0.3214568495750427,YDL150W,0.0,0.99,1
1232,YKL116C,0.6285377144813538,YKL116C,0.0,1.04,0
1233,YMR047C,0.4951944649219513,YMR047C,0.0,1.26,0
1234,YCL042W,0.18647624552249908,YCL042W,0.0,0.76,0
1235,YGR262C,0.2930007874965668,YGR262C,0.0,0.96,0
1236,YML124C,0.5422495007514954,YML124C,0.0,2.33,1
1237,YER133W,0.3639143109321594,YER133W,0.0,4.98,1
1238,YOL030W,0.5442133545875549,YOL030W,0.0,3.01,1
1239,YLR321C,0.4364873766899109,YLR321C,0.0,0.84,1
1240,YOR020C,0.8857313990592957,YOR020C,0.86,8.89,1
1241,YNR035C,0.6214184165000916,YNR035C,0.0,1.72,1
1242,YOL096C,0.4033621549606323,YOL096C,0.0,0.76,0
1243,YOL052C-A,0.4321715831756592,YOL052C-A,0.0,1.8,0
1244,YGR098C,0.28602051734924316,YGR098C,0.0,0.93,0
1245,YMR268C,0.28124669194221497,YMR268C,0.0,0.62,0
1246,YER015W,0.9329382181167603,YER015W,0.93,0.37,0
1247,YLR420W,0.2959332764148712,YLR420W,0.0,2.61,1
1248,YHR054C,0.5322563648223877,YHR054C,0.0,0.47,0
1249,YCR081W,0.3818238079547882,YCR081W,0.0,0.72,0
1250,YNL293W,0.44859999418258667,YNL293W,0.0,0.53,0
1251,YCR016W,0.29452359676361084,YCR016W,0.0,2.5,0
1252,YJR045C,0.9382269978523254,YJR045C,1.0,6.13,1
1253,YJL039C,0.9037191867828369,YJL039C,0.83,1.4,1
1254,YDR190C,0.752840518951416,YDR190C,0.61,3.24,1
1255,YLR003C,0.18487390875816345,YLR003C,0.0,1.99,1
1256,YLR375W,0.3210582137107849,YLR375W,0.0,1.88,1
1257,YBR130C,0.4414187967777252,YBR130C,0.0,0.94,1
1258,YHR020W,0.9447043538093567,YHR020W,1.0,5.15,1
1259,YOL061W,0.6841809153556824,YOL061W,0.33,3.98,1
1260,YHL014C,0.5295801758766174,YHL014C,0.0,0.5,0
1261,YER163C,0.4636489748954773,YER163C,0.0,1.1,0
1262,YJL090C,0.22442111372947693,YJL090C,0.0,1.04,0
1263,YAL060W,0.2108313888311386,YAL060W,0.0,1.31,1
1264,YCR097W,0.22876419126987457,YCR097W,0.0,0.72,0
1265,YDL055C,0.9448526501655579,YDL055C,1.0,11.72,1
1266,YDR238C,0.6420936584472656,YDR238C,0.4,2.54,1
